Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label
Pearl millet mathri (Bajra mathri),785.08,7.42,1.82,83.12,0.16,1.36,6.55,4.63,18,Unhealthy
Sesame biscuit (Til ke biscuit),424.03,53.65,8.27,19.34,29.73,6.83,28.19,298.06,12,Unhealthy
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,8.68,4.05,67.19,0.35,2.65,0.0,20.5,16,Unhealthy
Poshtik namak paras,613.39,19.52,6.49,56.58,0.87,4.55,14.3,60.74,13,Unhealthy
Soya chikki,423.7,62.89,7.18,15.51,45.47,3.55,32.71,81.25,17,Unhealthy
Besan bathua chilla/cheela,373.82,40.65,11.48,18.57,1.45,7.79,40.83,64.75,0,Healthy
Wheat flour and nuts ladoos (Atta nuts ladoos),391.9,44.31,9.46,19.19,15.94,7.3,25.45,127.29,8,Moderate
Gram flour and semolina dhokla (Besan suji dhokla),198.91,25.92,8.52,7.1,2.58,4.59,1.39,66.66,-5,Healthy
Atta dal burfi ,298.8,40.64,6.66,12.47,21.08,4.08,23.81,17.07,7,Moderate
Soya roti,283.96,40.03,9.18,9.23,1.58,8.71,0.02,53.42,-4,Healthy
Poshtik khichdi/khichri,93.37,15.64,3.04,1.88,0.26,2.0,0.0,30.41,-2,Healthy
Namkeen daliya,295.11,49.32,8.29,7.99,0.82,8.57,0.0,35.98,-5,Healthy
Sprouts upma ,316.25,44.96,9.5,10.44,1.67,7.16,0.0,36.78,-4,Healthy
Semolina idli (Suji/Rava idli),206.39,33.67,9.34,3.47,3.42,5.85,3.48,100.85,-7,Healthy
Poshtik chilla/cheela,159.53,27.47,4.85,3.04,1.22,4.91,0.0,18.18,-6,Healthy
Stuffed bittergourd (dry) (Bharwa karela),217.65,2.49,1.29,22.38,0.07,3.0,0.0,16.72,6,Moderate
Cauliflower potato canjee,16.79,2.63,0.57,0.39,0.13,0.69,0.0,6.78,0,Healthy
Creamed spinach,96.91,4.44,5.18,6.39,1.59,1.33,59.6,122.3,-1,Healthy
Mango milkshake with ice cream (Aam milkshake ice cream�ke�saath),68.35,9.18,1.93,2.8,9.11,0.23,1.3,69.36,1,Healthy
Pineapple milkshake with ice cream (Ananas milkshake ice cream�ke�saath),68.49,9.33,1.93,2.75,9.2,0.42,1.3,68.78,1,Healthy
Orange milkshake with ice cream (Narangi milkshake ice cream�ke�saath),67.82,9.15,1.95,2.75,9.0,0.16,1.3,69.8,0,Healthy
Woodapple juice (Bel ka sharbat),34.18,6.51,0.63,0.7,5.75,1.03,0.0,11.85,0,Healthy
Sattu drink,23.38,5.16,0.56,0.14,3.96,0.4,0.0,1.59,0,Healthy
Apple and honey sorbet (Seb aur shehad ka sharbat),121.3,30.74,0.15,0.29,29.18,1.13,0.0,9.11,6,Moderate
Thandai,101.18,9.13,3.59,5.89,8.21,0.8,0.0,112.31,1,Healthy
Cucumber sharbat (Kheere ka sharbat),27.28,6.64,0.26,0.06,5.46,0.78,0.0,6.49,1,Healthy
Apple oats chia seed smoothie,85.64,13.07,3.49,2.48,5.76,1.44,4.32,88.89,-1,Healthy
Nannari sharbat,88.79,23.62,0.01,0.01,23.58,0.0,0.0,2.67,6,Moderate
Semolina milk drink (Thari kanji),44.16,6.93,0.98,1.36,3.88,0.72,0.93,8.26,0,Healthy
Saffron milk (Kesariya doodh),102.18,12.64,3.17,4.57,12.5,0.14,0.0,110.88,3,Moderate
Black rice kheer (Chak-hao kheer),147.94,22.93,4.37,4.91,12.57,0.76,0.0,94.89,2,Healthy
Coconut kheer (Nariyal ki kheer),162.61,14.42,3.4,10.55,13.73,1.53,3.22,89.52,5,Moderate
Apple sago payasam (Seb aur sabudana ki kheer),136.5,14.4,3.13,7.66,10.63,0.38,10.85,102.11,4,Moderate
Kesari bath,244.57,31.38,2.4,12.59,20.16,1.65,27.84,7.7,10,Moderate
Putharekulu,318.3,59.61,3.66,7.55,23.86,1.75,18.39,6.11,7,Moderate
Mango malpua,334.64,12.84,1.65,30.67,4.96,2.08,75.21,10.64,13,Unhealthy
Mango vanilla custard,147.63,18.41,3.43,7.04,14.62,0.99,0.35,84.86,3,Moderate
Kiwi granola pudding,280.99,32.33,5.6,15.36,15.08,3.71,20.27,62.2,7,Moderate
Oats burfi,425.19,62.47,8.89,17.27,32.93,4.96,10.33,128.58,12,Unhealthy
Lotus seed halwa (Kamal gattay ka halwa),370.55,39.56,7.79,20.69,9.8,0.42,45.24,82.84,12,Unhealthy
Amaranth ladoo (Rajgira ladoo),454.15,51.33,10.12,22.7,19.92,5.11,33.64,144.58,11,Unhealthy
Chhena poda,344.57,33.64,13.68,17.94,30.65,1.4,3.31,295.29,14,Unhealthy
Sweet couscous dessert,196.2,29.69,3.81,7.69,15.89,2.18,9.37,30.94,3,Moderate
Sweetened yogurt (Shrikhand),107.18,16.02,5.27,2.89,15.81,0.08,9.95,183.02,1,Healthy
Thickened sweetened milk (Rabri),102.79,10.55,3.52,5.35,10.09,0.19,0.0,111.87,2,Healthy
Gram flour halwa (Besan halwa),276.79,25.78,5.88,17.3,15.83,1.82,33.12,77.42,10,Moderate
Prawn sandwich,169.65,11.89,10.36,9.27,1.21,1.55,40.7,75.53,-1,Healthy
Watercress sandwich,229.42,28.03,5.17,11.47,1.81,2.26,26.56,98.16,0,Healthy
Fish sandwich ,150.2,10.09,4.72,10.37,1.04,1.23,8.41,47.28,1,Healthy
Kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84,3.69,3.66,2.67,166.63,-4,Healthy
Finger millet biscuit (Ragi biscuit),458.56,52.69,4.03,25.79,16.9,5.97,64.19,207.04,11,Unhealthy
Buttermilk biscuit,322.54,34.93,5.76,17.5,3.44,1.18,45.41,67.16,5,Moderate
Lemon cookies,394.48,42.19,5.63,23.02,23.47,0.78,82.16,72.04,16,Unhealthy
Sweet potato biscuit (Shakarkand ke biscuit),296.4,38.13,5.14,13.31,2.53,2.27,33.83,56.34,2,Healthy
Raspberry shortbread cookies,441.12,61.25,3.0,21.25,40.86,0.75,54.36,13.81,21,Unhealthy
Pumpkin cookies ,218.4,44.69,2.51,3.93,31.62,1.06,22.23,19.36,8,Moderate
Greenpea cookies,159.42,23.07,6.53,4.24,14.45,5.32,0.0,48.45,-4,Healthy
Sunflower cookies,520.62,40.06,9.49,36.28,24.28,3.95,26.38,70.45,17,Unhealthy
Cardamom cookies (Elaichi cookies),400.49,53.99,5.1,19.12,38.99,2.79,111.21,25.21,17,Unhealthy
Hazelnut cookies,493.32,39.44,6.25,34.97,22.01,2.45,46.99,47.43,18,Unhealthy
Milk cookies,459.43,48.43,10.49,24.96,22.06,0.99,67.93,251.59,16,Unhealthy
Cranberry cookies,272.48,36.39,3.92,12.66,19.96,1.13,58.22,36.16,10,Moderate
Olive biscuit,438.29,55.01,3.2,23.75,32.27,0.82,48.63,10.76,19,Unhealthy
Tutti fruitti biscuit,420.78,53.12,5.21,17.9,15.75,5.43,44.48,23.81,8,Moderate
Peach blueberry preserves,177.38,45.76,0.53,0.2,45.33,1.14,0.0,9.03,11,Unhealthy
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19,25.19,3.06,0.0,6.57,3,Moderate
Starfruit preserves ,128.93,33.62,0.24,0.12,33.47,0.78,0.0,5.24,8,Moderate
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61,0.36,3.7,0.0,31.17,9,Moderate
Lotus stem pickle (Kamal kakdi ka achar),102.69,20.07,1.44,1.6,2.53,8.58,0.0,137.73,-4,Healthy
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21,30.47,5.2,0.0,41.49,3,Moderate
Garlic pickle (Lahasun ka achar),413.62,9.75,3.72,39.88,2.32,5.13,0.0,54.66,10,Moderate
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59,0.29,2.24,0.0,16.62,-1,Healthy
Sweet peach pickle (Aadoo ka achaar),144.64,37.01,0.46,0.2,36.46,1.32,0.0,11.99,8,Moderate
Pickled mustard greens ,13.12,1.05,1.51,0.22,0.02,1.7,0.0,81.44,-1,Healthy
Small onion pickle ,16.86,2.76,1.65,0.64,2.99,1.09,0.0,31.95,-2,Healthy
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,0.77,1.74,0.0,14.22,7,Moderate
Pickled cabbage ,13.69,2.56,0.39,0.14,2.08,0.61,0.0,15.96,0,Healthy
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71,8.98,6.35,0.0,44.78,12,Unhealthy
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46,0.82,2.21,0.0,48.46,12,Unhealthy
Mango murabba candy,293.35,77.32,0.27,0.05,74.73,0.95,0.0,16.55,12,Unhealthy
Afghani chicken,151.51,1.95,15.66,9.07,0.83,0.31,42.14,35.14,-1,Healthy
Fish orly,563.7,4.27,5.87,58.18,0.24,0.33,11.78,9.55,17,Unhealthy
Hariyali Fish Tikka,150.24,2.21,14.01,9.41,0.83,0.99,43.28,34.86,-2,Healthy
Chicken manchurian,142.34,6.06,9.53,11.96,0.9,0.41,37.88,26.52,-1,Healthy
Handi chicken,166.02,1.49,12.32,12.46,0.75,0.67,33.71,26.85,1,Healthy
Lemon chicken,169.79,0.55,20.2,9.66,0.16,0.16,60.15,17.4,0,Healthy
Lemon butter fish,160.25,0.75,16.38,10.26,0.23,0.36,46.11,18.66,0,Healthy
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22,2.03,0.01,77.26,71.94,-2,Healthy
Egg in a pepper,128.78,0.17,12.64,8.68,0.05,0.17,345.88,48.25,-2,Healthy
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,0.1,0.39,276.56,140.31,-1,Healthy
Corn omelette/omlet,166.93,1.57,11.37,12.89,0.41,0.02,253.36,96.22,1,Healthy
Cajun chicken,184.94,1.94,12.69,13.99,1.1,0.89,39.32,156.98,1,Healthy
Paaner do pyaza,127.7,3.41,4.22,10.87,2.2,0.84,15.07,57.22,2,Healthy
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,0.33,0.37,0.18,3.18,9,Moderate
Gobi 65,278.29,3.59,0.56,29.11,0.29,0.57,0.29,12.37,12,Unhealthy
Paneer lababdar,105.48,3.37,3.98,8.46,1.96,1.16,7.19,55.56,0,Healthy
Roasted cauliflower steak,78.68,2.02,2.05,6.7,0.44,3.53,0.0,24.47,-2,Healthy
Sauteed radishes with green beans,94.32,6.04,2.41,6.61,1.78,3.52,7.44,40.2,-1,Healthy
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,20.44,3.34,17.55,13.36,5.15,0.0,63.51,3,Moderate
Schezwan chutney,205.19,10.79,3.33,17.72,5.66,5.72,0.79,35.46,1,Healthy
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38,6.8,4.6,0.0,28.5,-1,Healthy
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12,18.68,3.41,0.0,28.72,2,Healthy
Chicken salad,338.19,1.3,15.33,30.26,0.96,2.0,47.62,43.19,12,Unhealthy
Macaroni salad,262.19,21.63,5.02,17.78,3.73,0.56,58.64,35.7,5,Moderate
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,4.21,0.93,16.26,118.49,-1,Healthy
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24,7.01,0.6,4.67,138.31,0,Healthy
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43,7.07,0.65,8.61,163.8,-2,Healthy
Green chilli raita (Hari mirch ka raita),77.13,7.66,5.58,2.92,7.49,0.26,10.52,193.58,-2,Healthy
Kale salad,177.71,5.01,4.86,15.33,3.31,1.36,6.12,109.11,3,Moderate
Spinach and paneer souffle ,186.19,9.64,7.56,13.49,2.81,1.07,76.02,114.32,1,Healthy
Masala souffle ,123.51,8.02,6.38,7.37,1.84,1.24,86.45,103.68,-1,Healthy
Chicken and cheese souffle,182.35,3.47,9.07,14.74,2.46,0.26,89.24,61.71,1,Healthy
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48,22.85,1.65,0.68,40.3,5,Moderate
Pav bhaji masala,230.47,29.15,9.13,10.96,1.48,24.3,0.0,588.91,-5,Healthy
Green chutney,79.42,10.01,5.42,1.6,0.92,5.84,0.0,112.74,-8,Healthy
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.1,1.03,1.82,12.24,15.13,3,Moderate
Gram flour chilla/cheela (Besan chilla/cheela),135.93,21.03,7.8,2.85,1.87,4.25,0.0,28.38,-7,Healthy
Vegetable namkeen jave,112.23,18.98,2.93,2.51,1.04,2.86,3.41,10.32,-3,Healthy
Khakhra,178.5,27.66,4.78,5.32,0.88,5.43,0.0,21.27,-4,Healthy
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67,2.9,6.04,17.86,36.44,-4,Healthy
Methi thepla,346.16,41.34,8.98,15.95,2.98,7.56,1.85,73.51,-1,Healthy
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13,0.33,0.76,0.0,4.96,2,Healthy
Buckwheat pancake (Khura),263.3,27.28,2.91,16.43,0.64,0.56,41.31,11.32,7,Moderate
Quinoa khichdi/khichri,64.01,8.83,3.18,1.59,0.69,2.58,2.61,24.59,-3,Healthy
Khakhra chaat,358.66,16.64,4.52,30.65,3.26,3.04,0.06,24.49,11,Unhealthy
Banana appam,469.81,20.06,1.17,42.53,9.95,0.67,0.0,13.74,17,Unhealthy
Veg manchurian,585.64,6.82,0.89,61.65,0.76,1.16,0.0,16.79,16,Unhealthy
Pav bhaji,96.53,11.99,2.66,4.32,2.06,1.98,8.91,24.86,-1,Healthy
Rice murukku,593.99,33.29,5.41,48.22,0.17,2.18,5.32,24.63,15,Unhealthy
Bhel puri ,509.89,16.47,3.52,47.91,3.41,2.24,0.0,24.22,14,Unhealthy
Semolina dhokla (Suji/Rava dhokla),194.91,30.86,5.44,5.2,1.85,5.12,0.0,31.17,-5,Healthy
Spicy corn chaat ,479.8,11.45,4.61,46.55,0.95,2.17,3.89,17.28,13,Unhealthy
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,24.0,2.34,54.41,11.48,1.5,0.0,24.62,18,Unhealthy
Banana chips (Kele ke chips),665.67,7.32,0.37,70.46,4.37,0.65,0.0,2.01,18,Unhealthy
Wheat cake,314.63,41.13,4.79,14.95,25.79,2.76,40.13,98.91,10,Moderate
Mango cheesecake,152.46,20.06,2.39,7.3,15.36,1.14,16.9,55.1,4,Moderate
Carrot cake (Gajar ka cake),255.59,35.98,5.6,10.27,23.96,2.93,11.61,156.1,8,Moderate
Semolina cake (Suji/Rava cake),374.14,31.32,6.58,25.18,18.86,5.37,27.06,128.28,11,Unhealthy
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27,24.76,2.35,25.2,118.38,10,Moderate
Honey cake,333.59,49.04,3.08,14.7,33.43,0.51,1.54,50.86,15,Unhealthy
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36,18.06,2.35,74.32,81.29,13,Unhealthy
Tutti frutti cake,347.72,52.94,4.49,12.68,28.08,0.85,2.46,61.41,14,Unhealthy
Ham and Bean soup,96.04,4.18,10.61,4.15,1.43,0.54,25.92,20.52,-3,Healthy
Whey soup,68.91,6.26,3.45,3.34,5.87,0.84,0.83,164.92,0,Healthy
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,0.39,0.96,0.72,15.14,-1,Healthy
Baked potato soup,147.05,5.85,5.73,11.21,3.44,0.3,26.31,106.56,1,Healthy
Pumpkin soup,40.05,2.08,0.47,3.2,1.47,1.19,0.86,12.17,0,Healthy
Sweet corn soup,32.25,3.56,0.99,1.63,0.9,0.31,0.0,3.72,0,Healthy
Paneer soup,47.85,2.42,3.22,2.8,1.98,0.28,0.0,82.76,-2,Healthy
Curried Cauliflower soup,37.32,3.12,6.72,9.77,1.79,2.34,4.77,37.25,-3,Healthy
Millet soup,55.99,8.22,11.26,12.57,1.45,2.82,1.45,65.21,-4,Healthy
Lemon coriander soup,108.06,10.32,2.27,6.26,2.2,6.77,0.0,102.57,-3,Healthy
Garlic soup,194.86,6.99,2.38,17.62,2.39,1.66,22.92,60.55,5,Moderate
Dal makhani,74.04,7.96,3.32,3.06,0.8,2.27,7.25,20.62,-3,Healthy
Dalma,118.93,15.04,4.91,4.58,3.1,2.16,0.0,54.28,-3,Healthy
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62,0.98,3.72,8.53,21.99,-4,Healthy
Horsegram dal (Kulthi dal) ,55.65,8.21,2.91,1.13,0.72,1.52,0.0,38.22,-2,Healthy
Panchmel dal,111.22,10.71,4.63,5.36,0.75,3.2,11.86,23.05,-3,Healthy
Dal dhokli,68.74,8.55,2.96,2.47,1.12,1.86,0.0,14.54,-2,Healthy
Gujarati handvo ,207.09,31.86,8.24,4.8,2.51,4.95,1.93,68.21,-7,Healthy
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08,0.53,2.35,0.0,13.95,15,Unhealthy
Papdi,708.96,12.89,1.83,72.11,0.31,0.56,0.0,6.06,18,Unhealthy
Jowar dosa,294.35,40.53,8.5,10.28,0.59,5.56,0.0,19.46,-4,Healthy
Bread roll,435.46,16.12,2.85,40.25,0.94,1.45,0.0,44.83,14,Unhealthy
Soya seekh kebab,115.05,10.0,5.4,5.88,0.51,2.24,0.0,15.67,-3,Healthy
Classic seasoned black beans,28.78,7.66,8.01,8.28,0.44,3.51,0.0,40.11,-6,Healthy
Maa chaane ki dal,344.67,43.11,19.8,9.5,1.05,13.45,15.36,68.65,-3,Healthy
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,2.65,2.84,0.0,13.93,-4,Healthy
White sauce (thin),115.17,6.58,3.31,8.41,4.58,0.07,11.04,110.2,2,Healthy
White sauce (medium),151.27,7.98,3.36,11.76,4.32,0.14,20.47,103.53,2,Healthy
White sauce (thick),209.69,10.24,3.43,17.19,3.9,0.24,35.72,92.74,5,Moderate
Cheese sauce,194.76,7.08,7.68,15.12,4.53,0.12,39.75,255.14,4,Moderate
Egg sauce,146.85,5.88,5.97,11.08,3.19,0.12,111.08,89.49,1,Healthy
Mushroom sauce,137.56,7.31,3.39,10.51,3.86,0.47,18.2,94.1,2,Healthy
Mustard sauce,158.58,8.29,3.98,12.17,4.22,0.13,19.97,109.03,3,Moderate
Brown sauce,109.18,5.38,11.92,23.67,0.13,1.69,0.0,40.44,2,Healthy
Classic italian pasta,42.12,4.4,0.57,2.45,2.94,1.36,1.7,19.55,-1,Healthy
Pasta spinach sauce,85.46,1.76,1.76,7.9,1.04,0.86,9.34,58.57,2,Healthy
Pasta cheese sauce,149.26,9.0,4.33,10.84,4.22,0.14,22.22,152.68,2,Healthy
Mayonnaise,774.86,1.65,1.86,84.52,1.44,0.11,117.12,15.36,19,Unhealthy
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.83,0.06,35.67,6.47,11,Unhealthy
Thousand island dressing,407.87,4.49,1.37,42.87,3.1,0.46,34.0,9.11,15,Unhealthy
Curd dip,79.95,7.95,5.04,3.36,7.12,0.1,10.59,167.17,-1,Healthy
Short crust pastry,422.1,44.72,6.11,23.98,3.18,1.58,61.0,16.9,11,Unhealthy
Choux pastry,222.37,16.2,5.55,14.96,1.5,0.56,125.01,19.43,3,Moderate
Flaky pastry,443.94,33.61,4.69,31.99,0.81,1.25,0.0,9.28,14,Unhealthy
Sponge cake ,253.77,44.63,9.18,4.74,26.33,0.69,182.09,30.22,4,Moderate
Glace icing,323.51,86.31,0.01,0.01,85.35,0.0,0.0,1.95,14,Unhealthy
Royal icing,332.58,86.53,1.74,0.02,85.57,0.0,0.0,2.87,14,Unhealthy
American frosting,257.57,67.48,1.05,0.01,67.46,0.0,0.0,7.05,13,Unhealthy
Gum icing,223.07,53.19,5.94,0.0,52.63,0.0,0.0,18.62,12,Unhealthy
Channa murmura premix,339.09,72.59,10.59,3.28,1.52,8.21,0.0,21.36,-5,Healthy
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11,0.63,11.66,0.0,49.03,-5,Healthy
Rice flakes and roasted channa ,333.4,71.94,10.57,2.94,1.31,8.84,0.0,17.23,-6,Healthy
Spinach soup in milk ,56.72,3.98,2.89,3.2,3.34,0.79,0.0,106.1,0,Healthy
Vegetable soup,55.21,7.6,2.22,1.55,1.61,3.01,3.34,18.1,-4,Healthy
Mashed banana with milk,95.43,14.62,2.51,2.99,11.35,0.71,0.0,78.64,2,Healthy
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65,5.46,1.09,13.37,140.9,0,Healthy
Potato with curd,73.18,12.01,3.19,1.33,3.3,1.02,4.38,85.41,-2,Healthy
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79,12.23,2.37,0.0,99.18,-2,Healthy
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53,3.71,2.45,11.92,100.54,-3,Healthy
Moong dal mixture,158.84,33.93,4.62,1.0,24.68,1.9,2.38,70.53,3,Moderate
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52,3.79,3.74,14.62,123.04,-5,Healthy
Stewed apple,91.93,22.49,0.17,0.37,20.45,1.48,0.0,9.25,4,Moderate
Lemon squash (Nimbu ka squash),184.56,48.88,0.15,0.06,48.88,0.0,0.0,9.85,12,Unhealthy
Orange squash (Santre ka squash),193.26,50.88,0.22,0.04,50.56,0.4,0.0,10.62,12,Unhealthy
Lichi squash,198.33,51.96,0.3,0.08,51.31,0.41,0.0,6.39,12,Unhealthy
Mango squash (Aam ka squash),194.66,50.96,0.17,0.17,50.84,0.58,0.0,9.47,12,Unhealthy
Pineapple squash (Ananas ka squash),195.02,51.34,0.16,0.05,51.08,1.06,0.0,7.96,11,Unhealthy
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,44.06,0.54,0.21,42.53,1.07,0.0,11.18,10,Moderate
Apple jam (Seb ka murabba),188.79,48.56,0.14,0.32,46.76,1.29,0.0,10.84,11,Unhealthy
Plum jam (Aloo bukhara jam),178.89,46.2,0.31,0.19,45.25,1.0,0.0,7.5,11,Unhealthy
Pineapple jam ,149.18,38.27,0.32,0.15,37.44,2.2,0.0,10.47,7,Moderate
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25,27.38,6.61,0.0,16.55,2,Healthy
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,25.09,1.97,0.0,17.59,4,Moderate
Carrot murabba (Gajar ka murabba),175.24,45.6,0.32,0.16,44.83,1.39,0.0,15.86,10,Moderate
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,28.61,0.0,0.0,16.4,7,Moderate
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27,47.99,1.67,0.0,10.43,11,Unhealthy
Mango pickle (Aam ka achaar),192.12,8.11,1.6,17.89,1.79,3.68,0.0,48.97,4,Moderate
Mixed vegetable pickle (Sabziyoon ka achaar),211.2,7.48,1.9,19.68,2.77,2.76,0.0,42.81,5,Moderate
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21,14.63,2.13,0.0,42.57,1,Healthy
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29,43.9,1.37,0.0,12.38,10,Moderate
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16,45.22,2.17,0.0,25.92,10,Moderate
Tomato sauce,34.33,7.23,0.81,0.27,5.69,1.79,0.0,13.0,0,Healthy
Tomato puree,20.62,3.68,0.75,0.25,2.32,1.56,0.0,8.91,-1,Healthy
Garam masala,254.21,26.2,9.89,10.97,1.79,35.56,0.0,609.77,-4,Healthy
Chat masala,222.58,23.87,8.19,9.91,0.79,18.62,0.0,519.5,-5,Healthy
Kashmiri masala,389.02,23.16,8.26,31.03,2.41,12.12,0.0,303.49,9,Moderate
Rasam powder (Rasam masala),267.96,25.19,12.04,11.8,1.91,35.71,0.0,562.15,-4,Healthy
Sambar powder (Sambar masala),297.46,23.38,12.5,15.58,1.87,34.56,0.0,439.95,-2,Healthy
Tartare sauce,610.93,2.96,1.44,66.12,2.18,0.42,50.47,21.06,17,Unhealthy
Barbeque sauce,121.93,20.46,0.96,4.51,18.88,0.69,0.0,28.61,6,Moderate
Bread sauce,111.04,8.69,3.46,7.05,4.63,0.56,8.48,110.72,2,Healthy
Green chilli sauce,46.06,7.36,1.25,0.27,5.36,1.77,0.0,9.89,0,Healthy
Home made plain noodles,238.78,44.5,6.21,3.56,1.07,1.65,0.0,12.27,-1,Healthy
Dal moong,43.69,4.92,2.2,1.62,0.13,1.08,3.55,7.69,-2,Healthy
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77,0.49,6.01,189.23,177.77,14,Unhealthy
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,3.51,2.12,29.17,20.45,2,Healthy
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.3,1.14,9.74,130.57,182.93,11,Unhealthy
Hot cherry sauce,252.74,67.95,0.13,0.07,17.65,0.0,0.0,24.82,6,Moderate
Apple jelly (Seb ki jelly),152.13,39.37,0.1,0.21,38.18,0.86,0.0,7.89,9,Moderate
Marmalade (Murabba),143.76,37.64,0.23,0.04,37.29,0.43,0.0,9.84,9,Moderate
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.1,55.02,0.52,0.0,6.9,12,Unhealthy
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,1.0,1.07,0.0,20.05,-1,Healthy
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,1.07,4.62,0.0,37.28,0,Healthy
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,4.31,2.2,0.0,15.18,-1,Healthy
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,3.04,5.08,0.0,54.31,-3,Healthy
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01,30.02,1.49,0.0,25.34,9,Moderate
Tomato ketchup,33.07,6.48,0.91,0.3,4.68,1.9,0.0,15.33,0,Healthy
Bengal 5 Spice Blend (Panch Phoran),289.79,20.0,18.26,22.16,1.4,18.4,0.0,523.0,0,Healthy
